"","complaint_type","date_ym","n_comp"
"1","Overflowing Litter Baskets",Jan 2018,20
"2","Overflowing Litter Baskets",Feb 2018,40
"3","Overflowing Litter Baskets",Mar 2018,40
"4","Overflowing Litter Baskets",Apr 2018,75
"5","Overflowing Litter Baskets",May 2018,103
"6","Overflowing Litter Baskets",Jun 2018,97
"7","Overflowing Litter Baskets",Jul 2018,182
"8","Overflowing Litter Baskets",Aug 2018,91
"9","Overflowing Litter Baskets",Sep 2018,104
"10","Overflowing Litter Baskets",Oct 2018,80
"11","Overflowing Litter Baskets",Nov 2018,69
"12","Overflowing Litter Baskets",Dec 2018,45
"13","Overflowing Litter Baskets",Jan 2019,54
"14","Overflowing Litter Baskets",Feb 2019,56
"15","Overflowing Litter Baskets",Mar 2019,51
"16","Overflowing Litter Baskets",Apr 2019,78
"17","Overflowing Litter Baskets",May 2019,134
"18","Overflowing Litter Baskets",Jun 2019,100
"19","Overflowing Litter Baskets",Jul 2019,127
"20","Overflowing Litter Baskets",Aug 2019,98
"21","Overflowing Litter Baskets",Sep 2019,99
"22","Overflowing Litter Baskets",Oct 2019,60
"23","Overflowing Litter Baskets",Nov 2019,77
"24","Overflowing Litter Baskets",Dec 2019,53
"25","Overflowing Litter Baskets",Jan 2020,35
"26","Overflowing Litter Baskets",Feb 2020,58
"27","Overflowing Litter Baskets",Mar 2020,43
"28","Overflowing Litter Baskets",Apr 2020,55
"29","Overflowing Litter Baskets",May 2020,85
"30","Overflowing Litter Baskets",Jun 2020,178
"31","Overflowing Litter Baskets",Jul 2020,790
"32","Overflowing Litter Baskets",Aug 2020,482
"33","Overflowing Litter Baskets",Sep 2020,417
"34","Overflowing Litter Baskets",Oct 2020,378
"35","Overflowing Litter Baskets",Nov 2020,117
"36","Overflowing Litter Baskets",Dec 2020,78
"37","Overflowing Litter Baskets",Jan 2021,116
"38","Overflowing Litter Baskets",Feb 2021,51
"39","Overflowing Litter Baskets",Mar 2021,167
"40","Overflowing Litter Baskets",Apr 2021,189
"41","Overflowing Litter Baskets",May 2021,216
"42","Overflowing Litter Baskets",Jun 2021,310
"43","Overflowing Litter Baskets",Jul 2021,332
"44","Overflowing Litter Baskets",Aug 2021,325
"45","Overflowing Litter Baskets",Sep 2021,146
"46","Overflowing Recycling Baskets",Feb 2018,1
"47","Overflowing Recycling Baskets",Mar 2018,2
"48","Overflowing Recycling Baskets",May 2018,1
"49","Overflowing Recycling Baskets",Jun 2018,2
"50","Overflowing Recycling Baskets",Jul 2018,1
"51","Overflowing Recycling Baskets",Aug 2018,4
"52","Overflowing Recycling Baskets",Oct 2018,3
"53","Overflowing Recycling Baskets",Nov 2018,1
"54","Overflowing Recycling Baskets",Jan 2019,1
"55","Overflowing Recycling Baskets",Mar 2019,1
"56","Overflowing Recycling Baskets",Apr 2019,1
"57","Overflowing Recycling Baskets",Jul 2019,2
"58","Overflowing Recycling Baskets",Aug 2019,4
"59","Overflowing Recycling Baskets",Oct 2019,2
"60","Overflowing Recycling Baskets",Nov 2019,1
"61","Overflowing Recycling Baskets",Dec 2019,1
"62","Overflowing Recycling Baskets",May 2020,1
"63","Overflowing Recycling Baskets",Jul 2020,5
"64","Overflowing Recycling Baskets",Aug 2020,4
"65","Overflowing Recycling Baskets",Sep 2020,3
"66","Overflowing Recycling Baskets",Apr 2021,1
"67","Overflowing Recycling Baskets",Jun 2021,1
"68","Overflowing Recycling Baskets",Jul 2021,3
"69","Overflowing Recycling Baskets",Aug 2021,1
"70","Overflowing Recycling Baskets",Sep 2021,2
