"","unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location","location_address","location_city","location_state","location_zip"
"1",58657690,2023-08-29 23:05:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10011,"363 WEST   23 STREET","WEST   23 STREET","8 AVE","9 AVE","","","ADDRESS","NEW YORK",NA,"N/A","Open",NA,"",NA,"04 MANHATTAN",1007470001,"MANHATTAN",984204,211069,"PHONE","Unspecified","MANHATTAN",NA,NA,NA,NA,NA,NA,NA,40.7460122310811,-74.0001660113694,"POINT (-74.00016601136937 40.74601223108109)",NA,NA,NA,NA
"2",58656392,2023-08-29 18:11:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10018,"310 WEST   38 STREET","WEST   38 STREET","8 AVE","9 AVE","","","ADDRESS","NEW YORK",NA,"N/A","Open",NA,"",NA,"04 MANHATTAN",1007610043,"MANHATTAN",986393,214331,"PHONE","Unspecified","MANHATTAN",NA,NA,NA,NA,NA,NA,NA,40.7549653377992,-73.99226499605,"POINT (-73.99226499605001 40.75496533779924)",NA,NA,NA,NA
"3",58659031,2023-08-29 16:29:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11420,"","","","","LEFFERTS BOULEVARD","111 AVENUE","INTERSECTION","QUEENS",NA,"N/A","Open",NA,"",NA,"10 QUEENS",NA,"QUEENS",1033799,187251,"PHONE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.6804988252455,-73.8213560410336,"POINT (-73.82135604103361 40.68049882524548)",NA,NA,NA,NA
"4",58652528,2023-08-29 15:35:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11214,"2101 86 STREET","86 STREET","21 AVE","BAY 28 ST","","","ADDRESS","BROOKLYN",NA,"N/A","Open",NA,"",NA,"11 BROOKLYN",3063470001,"BROOKLYN",985377,159044,"ONLINE","Unspecified","BROOKLYN",NA,NA,NA,NA,NA,NA,NA,40.6032152770385,-73.9959414205822,"POINT (-73.99594142058216 40.603215277038515)",NA,NA,NA,NA
"5",58651272,2023-08-29 10:14:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11004,"255-21 HILLSIDE AVENUE","HILLSIDE AVENUE","255 ST","256 ST","","","ADDRESS","GLEN OAKS",NA,"N/A","Open",NA,"",NA,"13 QUEENS",4087670101,"QUEENS",1063905,207708,"ONLINE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7364284260471,-73.7125704925656,"POINT (-73.71257049256562 40.73642842604709)",NA,NA,NA,NA
"6",58642071,2023-08-28 20:11:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",11004,"255-21 HILLSIDE AVENUE","HILLSIDE AVENUE","255 ST","256 ST","","","ADDRESS","GLEN OAKS",NA,"N/A","Open",NA,"",NA,"13 QUEENS",4087670101,"QUEENS",1063905,207708,"ONLINE","Unspecified","QUEENS",NA,NA,NA,NA,NA,NA,NA,40.7364284260471,-73.7125704925656,"POINT (-73.71257049256562 40.73642842604709)",NA,NA,NA,NA
"7",58648612,2023-08-28 15:23:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10003,"65 4 AVENUE","4 AVENUE","E 9 ST","E 10 ST","","","ADDRESS","NEW YORK",NA,"N/A","Open",NA,"",NA,"03 MANHATTAN",1005550014,"MANHATTAN",986901,205583,"ONLINE","Unspecified","MANHATTAN",NA,NA,NA,NA,NA,NA,NA,40.7309541236254,-73.9904348545493,"POINT (-73.99043485454928 40.73095412362544)",NA,NA,NA,NA
"8",58647238,2023-08-28 15:20:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10003,"85 4 AVENUE","4 AVENUE","E 10 ST","E 11 ST","","","ADDRESS","NEW YORK",NA,"N/A","Open",NA,"",NA,"03 MANHATTAN",1005560001,"MANHATTAN",986945,205856,"ONLINE","Unspecified","MANHATTAN",NA,NA,NA,NA,NA,NA,NA,40.7317034284083,-73.9902759876046,"POINT (-73.99027598760456 40.73170342840832)",NA,NA,NA,NA
"9",58642072,2023-08-28 12:11:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10466,"NEREID AVENUE","NEREID AVENUE","BARNES AVENUE","WICKHAM AVENUE","","","BLOCKFACE","BRONX",NA,"N/A","Open",NA,"",NA,"12 BRONX",NA,"BRONX",NA,NA,"ONLINE","Unspecified","BRONX",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"10",58648613,2023-08-28 10:29:00,NA,"DEP","Department of Environmental Protection","Industrial Waste","Grease In Sewer/Catch Basin (IDG)","",10462,"2199 WHITE PLAINS ROAD","WHITE PLAINS ROAD","LYDIG AVE","PELHAM PKWY S","","","ADDRESS","BRONX",NA,"N/A","Open",NA,"",NA,"11 BRONX",2043170050,"BRONX",1020865,251261,"PHONE","Unspecified","BRONX",NA,NA,NA,NA,NA,NA,NA,40.8562523327834,-73.8676394861686,"POINT (-73.86763948616858 40.85625233278342)",NA,NA,NA,NA
