"","community_board","n_comp"
"1","",17
"2","0 Unspecified",22
"3","01 BRONX",326
"4","01 BROOKLYN",1118
"5","01 MANHATTAN",259
"6","01 QUEENS",1211
"7","01 STATEN ISLAND",2282
"8","02 BRONX",246
"9","02 BROOKLYN",730
"10","02 MANHATTAN",367
"11","02 QUEENS",1184
"12","02 STATEN ISLAND",2207
"13","03 BRONX",222
"14","03 BROOKLYN",739
"15","03 MANHATTAN",373
"16","03 QUEENS",772
"17","03 STATEN ISLAND",2276
"18","04 BRONX",406
"19","04 BROOKLYN",536
"20","04 MANHATTAN",520
"21","04 QUEENS",579
"22","05 BRONX",255
"23","05 BROOKLYN",846
"24","05 MANHATTAN",608
"25","05 QUEENS",2042
"26","06 BRONX",257
"27","06 BROOKLYN",596
"28","06 MANHATTAN",303
"29","06 QUEENS",644
"30","07 BRONX",331
"31","07 BROOKLYN",596
"32","07 MANHATTAN",462
"33","07 QUEENS",2075
"34","08 BRONX",529
"35","08 BROOKLYN",381
"36","08 MANHATTAN",463
"37","08 QUEENS",1268
"38","09 BRONX",591
"39","09 BROOKLYN",412
"40","09 MANHATTAN",215
"41","09 QUEENS",1328
"42","10 BRONX",927
"43","10 BROOKLYN",705
"44","10 MANHATTAN",349
"45","10 QUEENS",2126
"46","11 BRONX",668
"47","11 BROOKLYN",805
"48","11 MANHATTAN",228
"49","11 QUEENS",1738
"50","12 BRONX",1105
"51","12 BROOKLYN",1139
"52","12 MANHATTAN",293
"53","12 QUEENS",2087
"54","13 BROOKLYN",634
"55","13 QUEENS",2222
"56","14 BROOKLYN",743
"57","14 QUEENS",1168
"58","15 BROOKLYN",1203
"59","16 BROOKLYN",284
"60","17 BROOKLYN",960
"61","18 BROOKLYN",1698
"62","26 BRONX",7
"63","27 BRONX",2
"64","28 BRONX",20
"65","55 BROOKLYN",7
"66","56 BROOKLYN",1
"67","64 MANHATTAN",2
"68","80 QUEENS",2
"69","81 QUEENS",15
"70","82 QUEENS",7
"71","83 QUEENS",1
"72","84 QUEENS",2
"73","95 STATEN ISLAND",6
"74","Unspecified BRONX",210
"75","Unspecified BROOKLYN",430
"76","Unspecified MANHATTAN",204
"77","Unspecified QUEENS",603
"78","Unspecified STATEN ISLAND",217
