"","date_ym","n_comp"
"1",Jan 2018,489
"2",Feb 2018,822
"3",Mar 2018,1027
"4",Apr 2018,1078
"5",May 2018,1117
"6",Jun 2018,992
"7",Jul 2018,1110
"8",Aug 2018,1538
"9",Sep 2018,1083
"10",Oct 2018,876
"11",Nov 2018,1212
"12",Dec 2018,720
"13",Jan 2019,776
"14",Feb 2019,505
"15",Mar 2019,750
"16",Apr 2019,920
"17",May 2019,1321
"18",Jun 2019,1226
"19",Jul 2019,1094
"20",Aug 2019,1053
"21",Sep 2019,679
"22",Oct 2019,671
"23",Nov 2019,391
"24",Dec 2019,734
"25",Jan 2020,459
"26",Feb 2020,544
"27",Mar 2020,403
"28",Apr 2020,232
"29",May 2020,316
"30",Jun 2020,565
"31",Jul 2020,1228
"32",Aug 2020,907
"33",Sep 2020,621
"34",Oct 2020,542
"35",Nov 2020,566
"36",Dec 2020,426
"37",Jan 2021,319
"38",Feb 2021,305
"39",Mar 2021,552
"40",Apr 2021,592
"41",May 2021,552
"42",Jun 2021,969
"43",Jul 2021,1263
"44",Aug 2021,1156
"45",Sep 2021,2164
"46",Oct 2021,1145
"47",Nov 2021,567
"48",Dec 2021,359
"49",Jan 2022,392
"50",Feb 2022,487
"51",Mar 2022,555
"52",Apr 2022,721
"53",May 2022,850
"54",Jun 2022,906
"55",Jul 2022,1082
"56",Aug 2022,714
"57",Sep 2022,1253
"58",Oct 2022,707
"59",Nov 2022,663
"60",Dec 2022,536
"61",Jan 2023,625
"62",Feb 2023,278
"63",Mar 2023,496
"64",Apr 2023,656
"65",May 2023,836
"66",Jun 2023,623
"67",Jul 2023,1240
"68",Aug 2023,856
