"","date_ym","n_comp"
"1",Jan 2018,2479
"2",Feb 2018,2746
"3",Mar 2018,2787
"4",Apr 2018,3041
"5",May 2018,3331
"6",Jun 2018,3268
"7",Jul 2018,3481
"8",Aug 2018,3421
"9",Sep 2018,3209
"10",Oct 2018,3413
"11",Nov 2018,2648
"12",Dec 2018,2658
"13",Jan 2019,3087
"14",Feb 2019,2600
"15",Mar 2019,3140
"16",Apr 2019,3271
"17",May 2019,3234
"18",Jun 2019,3153
"19",Jul 2019,3272
"20",Aug 2019,3411
"21",Sep 2019,3390
"22",Oct 2019,3213
"23",Nov 2019,2711
"24",Dec 2019,2517
"25",Jan 2020,3194
"26",Feb 2020,2900
"27",Mar 2020,2137
"28",Apr 2020,1097
"29",May 2020,1683
"30",Jun 2020,2249
"31",Jul 2020,2839
"32",Aug 2020,3657
"33",Sep 2020,3731
"34",Oct 2020,3614
"35",Nov 2020,3108
"36",Dec 2020,2455
"37",Jan 2021,3239
"38",Feb 2021,1615
"39",Mar 2021,3986
"40",Apr 2021,3546
"41",May 2021,3640
"42",Jun 2021,3763
"43",Jul 2021,4015
"44",Aug 2021,3987
"45",Sep 2021,4162
"46",Oct 2021,4220
"47",Nov 2021,3342
"48",Dec 2021,3336
"49",Jan 2022,3140
"50",Feb 2022,3447
"51",Mar 2022,4415
"52",Apr 2022,3949
"53",May 2022,4226
"54",Jun 2022,4331
"55",Jul 2022,4510
"56",Aug 2022,4705
"57",Sep 2022,4261
"58",Oct 2022,3795
"59",Nov 2022,3647
"60",Dec 2022,3535
"61",Jan 2023,4135
"62",Feb 2023,3704
"63",Mar 2023,4480
"64",Apr 2023,4347
"65",May 2023,4708
"66",Jun 2023,4560
"67",Jul 2023,4629
"68",Aug 2023,4399
