"","descriptor","borough","count"
"1","Grease In Sewer/Catch Basin (IDG)","BRONX",111
"2","Grease In Sewer/Catch Basin (IDG)","BROOKLYN",284
"3","Grease In Sewer/Catch Basin (IDG)","MANHATTAN",185
"4","Grease In Sewer/Catch Basin (IDG)","QUEENS",313
"5","Grease In Sewer/Catch Basin (IDG)","STATEN ISLAND",31
"6","Oil, Grease In Water (QD1)","BRONX",49
"7","Oil, Grease In Water (QD1)","BROOKLYN",48
"8","Oil, Grease In Water (QD1)","MANHATTAN",29
"9","Oil, Grease In Water (QD1)","QUEENS",29
"10","Oil, Grease In Water (QD1)","STATEN ISLAND",15
