"","community_board","n_comp"
"1","0 Unspecified",27
"2","01 BRONX",629
"3","01 BROOKLYN",1550
"4","01 MANHATTAN",338
"5","01 QUEENS",1385
"6","01 STATEN ISLAND",1241
"7","02 BRONX",324
"8","02 BROOKLYN",941
"9","02 MANHATTAN",1281
"10","02 QUEENS",821
"11","02 STATEN ISLAND",747
"12","03 BRONX",643
"13","03 BROOKLYN",2019
"14","03 MANHATTAN",1006
"15","03 QUEENS",1060
"16","03 STATEN ISLAND",1544
"17","04 BRONX",702
"18","04 BROOKLYN",889
"19","04 MANHATTAN",859
"20","04 QUEENS",621
"21","05 BRONX",440
"22","05 BROOKLYN",2249
"23","05 MANHATTAN",705
"24","05 QUEENS",1357
"25","06 BRONX",654
"26","06 BROOKLYN",1025
"27","06 MANHATTAN",531
"28","06 QUEENS",434
"29","07 BRONX",571
"30","07 BROOKLYN",1244
"31","07 MANHATTAN",581
"32","07 QUEENS",1268
"33","08 BRONX",301
"34","08 BROOKLYN",758
"35","08 MANHATTAN",521
"36","08 QUEENS",743
"37","09 BRONX",868
"38","09 BROOKLYN",592
"39","09 MANHATTAN",316
"40","09 QUEENS",1052
"41","10 BRONX",728
"42","10 BROOKLYN",915
"43","10 MANHATTAN",843
"44","10 QUEENS",1322
"45","11 BRONX",588
"46","11 BROOKLYN",992
"47","11 MANHATTAN",815
"48","11 QUEENS",443
"49","12 BRONX",1705
"50","12 BROOKLYN",1150
"51","12 MANHATTAN",457
"52","12 QUEENS",3287
"53","13 BROOKLYN",529
"54","13 QUEENS",1375
"55","14 BROOKLYN",1020
"56","14 QUEENS",503
"57","15 BROOKLYN",1144
"58","16 BROOKLYN",671
"59","17 BROOKLYN",1331
"60","18 BROOKLYN",1557
"61","26 BRONX",29
"62","27 BRONX",3
"63","28 BRONX",13
"64","55 BROOKLYN",6
"65","56 BROOKLYN",2
"66","64 MANHATTAN",4
"67","80 QUEENS",2
"68","81 QUEENS",4
"69","82 QUEENS",7
"70","84 QUEENS",6
"71","95 STATEN ISLAND",1
"72","Unspecified BRONX",161
"73","Unspecified BROOKLYN",350
"74","Unspecified MANHATTAN",96
"75","Unspecified QUEENS",297
"76","Unspecified STATEN ISLAND",42
