charge_1_code,n,relevant_charge,charge_1_code_description
AS18,3,storage receptacles,"STORAGE OF RECEPTACLES NON-COLLECTION DAY , STORAGE OF RECEPTACLES 1ST OCCURRENCE , STORAGE OF RECEPTACLES"
AD09,2,remove,"OBSTRUCTION OF STREET W CONSTRUCTION MATERIALS EQUIPMENT W O PERMIT , CONSTRUCTION MATERIALS EQUIPMENT STORED ON STREET W 0 PERMIT"
AR7G,2,FAILURE TO RECYCLE,"FAILURE TO PROPERLY PUT RECYCS OUT FOR COLLECTION 1TO8DWELLING UNITS , FAILURE TO PROPERLY PUT RECYCS OUT FOR COLLECTION(1TO8DWELLING UNITS)"
AS02,2,remove,"POSTING OF SIGN PERMIT , POSTING OF SIGN PERMIT, WASTE REMOVAL"
AS06,2,dirty sidewalk,"DIRTY SIDEWALK , DIRTY SIDEWALK DIRTY AREA"
AS08,2,debris,"DUST OR SUBSTANCES FLYING 1ST OCCURRENCE , DUST OR SUBSTANCES FLYING"
AS09,2,spills,"SPILLAGE FROM A RECEPTACLE 1ST OFFENSE , SPILLAGE FROM TRUCK OR RECEPTACLE"
AS13,2,illegal dumping,"ILLEGAL DUMPING OPERATOR OF VEHICLE 1ST OFFENSE , ILLEGAL DUMPING OPERATOR OF VEHICLE - 1ST AND 2ND OFFENSE"
AS14,2,illegal dumping,"ILLEGAL DUMPING OWNER OF VEHICLE 1ST OFFENSE , ILLEGAL DUMPING OWNER OF VEHICLE 1ST AND 2ND OFFENSE"
AS15,2,illegal dumping,"ILLEGAL DUMPING CITIZEN COMPLAINANT - 1ST OFFENSE , ILLEGAL DUMPING CITIZEN COMPLAINT - 1ST AND 2ND OFFENSE"
AS16,2,illegal dumping,"IMPROPER DISPOSAL 1ST OCCURRENCE , IMPROPER DISPOSAL 1ST OFFENSE"
AS19,2,debris,"LOOSE RUBBISH 1ST OCCURRENCE , LOOSE RUBBISH"
AS20,2,illegal dumping,"IMPROPER DISPOSAL DSNY LITTER BASKET 1ST OFFENSE , IMPROPER USE OF DSNY LITTER BASKET"
AS37,2,NONPUTRESCIBLE WASTE,"COMMISSIONER S TRANSFER STATION RULE RE: NONPUTRESCIBLE WASTE , COMMISSIONER'S TRANSFER STATION RULE RE: NONPUTRESCIBLE WASTE"
AS39,2,NONPUTRESCIBLE WASTE,"COMMISSIONER S TRANSFER STATION RULES RE: PUTRESCIBLE WASTE , COMMISSIONER'S TRANSFER STATION RULES RE: PUTRESCIBLE WASTE"
AS9A,2,spills,"SPILLAGE FROM A RECEPTACLE 2ND OFFENSE , SPILLAGE FROM TRUCK OR RECEPTACLE, SECOND OFFENSE"
AS9B,2,spills,"SPILLAGE FROM A RECEPTACLE 3RD OFFENSE , SPILLAGE FROM TRUCK OR RECEPTACLE, THIRD OFFENSE"
ASBG,2,not related,"POSSESS SELL OFFER POLYSTYRENE SINGLE SERVICE ARTICLE STORE 1ST , POSSESS SELL OR OFFER POLYSTYRENE SINGLE SERVICE ARTICLES STORE 1ST"
ASP1,2,storage receptacles,"UNCOVERED RECEPTACLES 1ST OCCURRENCE , UNCOVERED RECEPTACLES 1ST OFFENSE"
ASP4,2,IMPROPER DISPOSAL,"IMPROPER DISPOSAL--BEDDING 1ST OCCURRENCE , IMPROPER DISPOSAL BEDDING 1ST OFFENSE"
ASP7,2,storage receptacles,"IMPROPER RECEPTACLES 1ST OCCURRENCE , IMPROPER RECEPTACLES 1ST OFFENSE"
ASR7,2,FAILURE TO RECYCLE,"FAILURE TO RECYCLE ORGANICS HOTEL 100 OR MORE ROOMS 1ST , FAILURE TO RECYCLE ORGANICS HOTEL 1ST"
ASU4,2,FAILURE TO RECYCLE,"ORGANICS MIXED WITH NON-ORGANICS MATERIALS 1ST , ORGANICS MIXED WITH NON-ORGANIC MATERIALS 1ST"
ASX1,2,FAILURE TO RECYCLE,"FAILURE TO RECYCLE ORGANICS FSE AT LEAST 7,000 SQUARE FEET 1ST , FAIL TO RECYCLE ORGANICS FSE AT LEAST 15,000 SQ FT 1ST OFFENSE"
ASX4,2,FAILURE TO RECYCLE,"FAILURE TO RECYCLE ORGANICS FSE CHAIN 2 OR MORE 1ST , FAIL TO RECYCLE ORGANICS FSE CHAIN 100 OR MORE 1ST OFFENSE"
ASX7,2,FAILURE TO RECYCLE,"FAIL TO RECYCLE ORGANICS, FOOD STORE AT LEAST 10,000 SQFT CHAIN 1ST , FAIL TO RECYCLE ORGANICS RETAIL FOOD STORE AT LEAST 25000 SQ FT 1ST"
ASZ4,2,storage receptacles,"INSUFFICIENT RECEPTACLES 1ST OCCURRENCE , INSUFFICIENT RECEPTACLES 1ST OFFENSE"
ASZ7,2,storage receptacles,"BROKEN RECEPTACLES 1ST OCCURRENCE , BROKEN RECEPTACLES 1ST OFFENSE"
A190,1,remove,PERFORMING PLUMBING WORK WITHOUT A MASTER PLUMBER LICENSE
A1D1,1,remove,UNLAWFUL ADVERTISEMENT FOR CERTAIN OCCUPANCIES - 3RD OFFENSE OR MORE
AA03,1,remove,"FAILURE TO COMPLY WITH DIRECTIVES OF POLICE,PARK SUPERVISOR,LIFEGUARD"
AA04,1,remove,FAILURE TO COMPLY WITH DIRECTIONS PROHIBITIONS ON SIGNS
AA06,1,remove,"CUTTING, REMOVAL, OR DESTRUCTION OF A TREE"
AA13,1,illegal dumping,UNLAWFUL DUMPING
AA35,1,remove,UNAUTHORIZED CONSUMPTION POSSESSION OF ALCOHOLIC BEVERAGE
AA75,1,remove,SMOKING IN A PARK OR ON OTHER PROPERTY UNDER JURISDICTION OF DEPT.
AB01,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL OF LEAD ACID BATTERY
AD06,1,improper signage ,IDENTIFYING SIGNS IMPROPERLY DISPLAYED OR MISSING
AD07,1,remove,CONSTRUCTING VAULT W O LICENSE OR REVOCABLE CONSENT
AD18,1,remove,CANOPY WITHOUT PERMIT
AD19,1,remove,POST POLE FLAGPOLE SOCKET LAMPPOST W O PERMIT CONSENT
AD30,1,remove,FAILURE TO COMPLY WITH THE TERMS AND CONDITIONS OF DOT PERMITS
AD6L,1,remove,"RIGHT OF WAY - FAILURE TO YIELD, PHYSICAL INJURY"
AD6M,1,remove,LEAVING THE SCENE - PROPERTY DAMAGE FIRST OFFENSE
ADC9,1,storage receptacles,FAIL TO HAVE PROPER ST PROTECTION UNDER COMMERCIAL REFUSE CONTAINER
ADF3,1,remove,FAIL TO PROVIDE EQUIPMENT TO COMMERCIAL BICYCLE OPERATOR 1ST OFFENSE
ADF4,1,remove,FAIL TO PROVIDE EQUIPMENT TO COMMERCIAL BICYCLE OPERATOR 2ND+ OFFENSE
ADP4,1,remove,FAILURE TO DISPLAY INTERCITY BUS PERMIT- 2ND SUBSEQUENT OFFENSE
AE24,1,remove,EMISSION OF ODOROUS AIR CONTAMINANT 1ST OFF
AE27,1,remove,EMISSION OF AIR CONTAMINANT FROM VEHICLE 1ST OFFENSE
AE38,1,remove,AIR CONTAMINANT FROM OPEN FIRE
AE51,1,remove,IDLING OF MOTOR VEHICLE ENGINE MORE THAN THREE MINUTES 1ST OFF
AF25,1,remove,NA
AF99,1,remove,NYC HEALTH CODE PROVISION - MISCELLANEOUS
AFJ3,1,remove,MFVU UNSECURED WHEN LEFT UNATTENDED FOR MORE THAN ONE-HALF HOUR
AFK2,1,spills,SOLID AND LIQUID WASTE CAUSED BY THE OPERATION OF THE UNIT NOT COLLECT
AFW3,1,remove,OPERATING A MFVU UNIT WITHOUT A PERMIT IN ANY PUBLIC SPACE
AFW5,1,remove,OPERATING A MFVU IN ANY PUBLIC SPACE WITHOUT A LICENSE
AFY3,1,remove,ITEMS NOT IN OR UNDER CART EXCEPT WASTE CONTAINER
AFY4,1,remove,VENDING AT TIME OR PLACE PROHIBITED
AFY6,1,remove,"VENDING ON SIDEWALK LESS THAN 12 FT., OR NOT AT CURB"
AFY8,1,remove,PUSHCART TOUCHING OR LEANING AGAINST BUILDING
AFY9,1,remove,"VENDING IN BUS STOP, SIDEWALK NEXT TO A HOSPITAL OR HEALTH FACILITY"
AFZ5,1,spills,"FAILURE TO REMOVE AND CLEAN AREA OF ANY WASTE, DEBRIS OR FOOD SPILLAGE"
AG01,1,remove,UNLICENSED GENERAL VENDOR INCLUDING CONT D UNLICENSED ACTIVITY 1ST
AG11,1,remove,"VENDING ON SIDEWALK LESS THAN 12 FT. WIDE, OR NOT AT CURB 1ST"
AG12,1,remove,USING MORE THAN 8 FT. PARALLEL TO CURB OR 3 FT. FROM CURB 1ST
AG14,1,remove,STAND GOODS AGAINST DISPLAY WINDOW WITHIN 20 FT. OF EXITS 1ST
AG15,1,remove,VENDING IN PROHIBITED AREA OF SIDEWALK OR STREET 1ST
AG21,1,remove,VEND AT TIMES PLACES RESTRICTED BY VENDOR REVIEW PANEL 1ST
AG23,1,remove,"VEND ON VENT, CELLAR DOOR, MANHOLE, OR SUBWAY GRATING 1ST"
AG25,1,remove,VENDING FROM A PARKED MOTOR VEHICLE 1ST
AG26,1,remove,ILLEGAL USE OF ELECTRICAL OIL GAS POWERED DEVICE
AG27,1,remove,VENDING TOO CLOSE TO PROHIBITED PLACES 1ST
AGE3,1,remove,USING MORE THAN 8 FT. PARALLEL TO CURB OR 3 FT. FROM CURB 1ST
AGE7,1,remove,VENDING WITHIN 20 FT FROM ENTRANCE EXIT OF BUILDING 1ST
AGF6,1,remove,VEND W IN 5FT OF BUS SHELTER NEWSSTAND PUBLIC PHONE DISABLE RAMP 1ST
AGI7,1,remove,VENDING ON SIDEWALK LESS THAN 10 FEET MIDTOWN 1ST
AH2I,1,remove,TRANSFER OF FOOD TO UNLICENSED VENDOR
AH30,1,IMPROPER DISPOSAL,FAILURE TO REMOVE LOCKING DEVICE FROM DISCARDED REFRIGERATOR
AH3G,1,IMPROPER DISPOSAL,IMPROPER GARBAGE COLLECTION AND OR DISPOSAL
AH3I,1,spills,FAILURE TO PROPERLY REMOVE AND OR CLEAN DEBRIS AND CONSUMER LITTER
AH50,1,rats,RAT OR OTHER PEST INFESTATION
AH61,1,remove,CONTROL OF DOGS AND OTHER ANIMALS TO PREVENT NUISANCE
AH62,1,remove,DOGS TO BE RESTRAINED
AHG3,1,remove,"DOG, CAT NOT TIMELY EUTHANIZED"
AHH8,1,remove,FAILURE TO TAKE REASONABLE PRECAUTIONS TO PROTECT HEALTH AND SAFETY
AHJ5,1,remove,FAIL TO COMPLY WITH EXEC ORDER 228 AS EXTENDED 1ST OFFENSE
AK09,1,spills,FAILURE TO REMOVE CANINE WASTE
AN62,1,remove,UNAUTHORIZED USE OF MOTOR VEHICLE CLAXON
AR01,1,IMPROPER DISPOSAL,IMPROPER MISUSED CURBSIDE RECYCLING CONTAINER 9+ DWELLING UNITS
AR02,1,IMPROPER DISPOSAL,IMPROPER MISUSED MECHANIZED RECYCLING CONTAINER 9+ DWELLING UNITS
AR03,1,improper signage ,FAILURE TO POST NOTICES INFORM ABOUT RECYCLING 9+ DWELLING UNITS
AR04,1,storage receptacles,NO ACCESSABLE RECYCLING STORAGE AREA 9+ DWELLING UNITS
AR05,1,storage receptacles,INADEQUATE RECYCLING CONTAINERS IN STORAGE AREA 9+ DWELLING UNITS
AR06,1,IMPROPER DISPOSAL,IMPROPER DISPOSAL OF RECYC MISUSE OF CONTAINERS 9+ DWELLING UNITS
AR07,1,storage receptacles,FAILURE TO CLEAN RECYCLABLES 9 OR MORE DWELLING UNITS
AR08,1,IMPROPER DISPOSAL,FAILURE TO BUNDLE NEWSPAPERS MAGAZINES CARDBOARD 9+ DWELLING UNITS
AR09,1,FAILURE TO RECYCLE,FAILURE TO PROPERLY PUT RECYCS OUT FOR COLLECTION 9+ DWELLING UNITS
AR10,1,IMPROPER DISPOSAL,NON-RECYCLABLES IN RECYC. CONTAINER FOR COLLECTION 9+ DWELLING UNITS
